Experiment Log:
Shifts: 5, Iterations: 20, Clashes: 14
Shifts: 5, Iterations: 30, Clashes: 20
Shifts: 10, Iterations: 5, Clashes: 4
Shifts: 10, Iterations: 10, Clashes: 0
Shifts: 10, Iterations: 20, Clashes: 0
Shifts: 10, Iterations: 30, Clashes: 0
Shifts: 15, Iterations: 5, Clashes: 0
Shifts: 15, Iterations: 10, Clashes: 0
Shifts: 15, Iterations: 20, Clashes: 0
Shifts: 15, Iterations: 30, Clashes: 0
Optimal Shifts: 10, Optimal Iterations: 10, Minimum Clashes: 0
Experiment Log:
Shifts: 1, Iterations: 5, Clashes: 1208
Shifts: 1, Iterations: 10, Clashes: 68
Shifts: 1, Iterations: 20, Clashes: 242
Shifts: 1, Iterations: 30, Clashes: 164
Shifts: 5, Iterations: 5, Clashes: 28
Shifts: 5, Iterations: 10, Clashes: 12
Shifts: 5, Iterations: 20, Clashes: 8
Shifts: 5, Iterations: 30, Clashes: 10
Shifts: 10, Iterations: 5, Clashes: 0
Shifts: 10, Iterations: 10, Clashes: 0
Shifts: 10, Iterations: 20, Clashes: 4
Shifts: 10, Iterations: 30, Clashes: 0
Shifts: 15, Iterations: 5, Clashes: 0
Shifts: 15, Iterations: 10, Clashes: 0
Shifts: 15, Iterations: 20, Clashes: 0
Shifts: 15, Iterations: 30, Clashes: 0
Optimal Shifts: 10, Optimal Iterations: 5, Minimum Clashes: 0
Experiment Log:
Shifts: 1, Iterations: 5, Clashes: 1254
Shifts: 1, Iterations: 10, Clashes: 104
Shifts: 1, Iterations: 20, Clashes: 146
Shifts: 1, Iterations: 30, Clashes: 208
Shifts: 5, Iterations: 5, Clashes: 72
Shifts: 5, Iterations: 10, Clashes: 14
Shifts: 5, Iterations: 20, Clashes: 22
Shifts: 5, Iterations: 30, Clashes: 22
Shifts: 10, Iterations: 5, Clashes: 8
Shifts: 10, Iterations: 10, Clashes: 0
Shifts: 10, Iterations: 20, Clashes: 0
Shifts: 10, Iterations: 30, Clashes: 2
Shifts: 15, Iterations: 5, Clashes: 6
Shifts: 15, Iterations: 10, Clashes: 18
Shifts: 15, Iterations: 20, Clashes: 16
Shifts: 15, Iterations: 30, Clashes: 0
Optimal Shifts: 10, Optimal Iterations: 10, Minimum Clashes: 0
Experiment Log:
Shifts: 1, Iterations: 5, Clashes: 1250
Shifts: 1, Iterations: 10, Clashes: 132
Shifts: 1, Iterations: 20, Clashes: 148
Shifts: 1, Iterations: 30, Clashes: 156
Shifts: 5, Iterations: 5, Clashes: 72
Shifts: 5, Iterations: 10, Clashes: 36
Shifts: 5, Iterations: 20, Clashes: 14
Shifts: 5, Iterations: 30, Clashes: 22
Shifts: 10, Iterations: 5, Clashes: 64
Shifts: 10, Iterations: 10, Clashes: 26
Shifts: 10, Iterations: 20, Clashes: 24
Shifts: 10, Iterations: 30, Clashes: 20
Shifts: 15, Iterations: 5, Clashes: 0
Shifts: 15, Iterations: 10, Clashes: 0
Shifts: 15, Iterations: 20, Clashes: 0
Shifts: 15, Iterations: 30, Clashes: 0
Optimal Shifts: 5, Optimal Iterations: 30, Minimum Clashes: 0
Experiment Log:
Shifts: 1, Iterations: 5, Clashes: 1196
Shifts: 1, Iterations: 10, Clashes: 76
Shifts: 1, Iterations: 20, Clashes: 92
Shifts: 1, Iterations: 30, Clashes: 194
Shifts: 5, Iterations: 5, Clashes: 90
Shifts: 5, Iterations: 10, Clashes: 38
Shifts: 5, Iterations: 20, Clashes: 36
Shifts: 5, Iterations: 30, Clashes: 28
Shifts: 10, Iterations: 5, Clashes: 20
Shifts: 10, Iterations: 10, Clashes: 0
Shifts: 10, Iterations: 20, Clashes: 0
Shifts: 10, Iterations: 30, Clashes: 0
Shifts: 15, Iterations: 5, Clashes: 0
Shifts: 15, Iterations: 10, Clashes: 0
Shifts: 15, Iterations: 20, Clashes: 0
Shifts: 15, Iterations: 30, Clashes: 0
Optimal Shifts: 10, Optimal Iterations: 10, Minimum Clashes: 0
Experiment Log:
Shifts: 1, Iterations: 5, Clashes: 1094
Shifts: 1, Iterations: 10, Clashes: 76
Shifts: 1, Iterations: 20, Clashes: 232
Shifts: 1, Iterations: 30, Clashes: 96
Shifts: 5, Iterations: 5, Clashes: 8
Shifts: 5, Iterations: 10, Clashes: 52
Shifts: 5, Iterations: 20, Clashes: 34
Shifts: 5, Iterations: 30, Clashes: 70
Shifts: 10, Iterations: 5, Clashes: 2
Shifts: 10, Iterations: 10, Clashes: 30
Shifts: 10, Iterations: 20, Clashes: 20
Shifts: 10, Iterations: 30, Clashes: 0
Shifts: 15, Iterations: 5, Clashes: 0
Shifts: 15, Iterations: 10, Clashes: 0
Shifts: 15, Iterations: 20, Clashes: 0
Shifts: 15, Iterations: 30, Clashes: 0
Optimal Shifts: 10, Optimal Iterations: 30, Minimum Clashes: 0
